System Key,System Name,Solution,Vendor,Application Type,Technology,System Role,Tribe,Is NonTarget System,Status,Criticality Level,Description Geo,Description Eng,Business Domains
1,Analitica,,TBC Solutions,Win App,Delphi,Reporting,Ent Serv,Yes,Active,Normal,"წარმოადგენს ბალანსების ან შემოსავლების რეპორტების სისტემას. მონაცემები დაყოფილია სტრიქონებად.  თითოეული ”სტრიქონი” არის ფუნქციონალურად განსაზღვრული ერთეული, (მაგალითად იურიდიული პირების საპროცენტო შემოსავალი ბარათებიდან). ეს სტრიქონები სხვადასხვა დონეზეა","The system of balance or revenue reports. The data is divided into rows. Each ""row"" is functionally defined unit (for example, interest income collected from legal entities). These strings are different levels.",DW & Analytics
2,ApplicantForm,,TBC Solutions,Web App,.Net,,Ent Serv,Yes,Cancelled,,ვაკანსიის ელექტრონული სააპლიკაციო ფორმის შესავსები და staff-ში განაცხადის აღსარიცხავი მოდული,Electronic application forms for vacancies,HRM
3,AzRy Terminals(SSTS),SSTS,AzRy,App,Java,Front,Payments,No,Active,Key,ტერმინალების მართვის სისტემა,Terminlals Management system,Self Service Channels
4,AzRy Terminals Middleware,SSTS,TBC Solutions,App,.Net,Adapter,Payments,Yes,Active,Key,AzRy Terminals-ისთვის ინფორმაციის მიმწოდებელი და ოპერაციების დამამუშავებელი სერვისები,TBC Middleware services for AzRy Terminals. Provides information and processes operations,Integration
5,B6,B6,Alta Software,Win App,Delphi,Master,Platform Systems,No,Active,Critical,ძირითადი ოპერაციების სისტემა,Core banking system,"CASA||Term Deposits||Debit Cards||Payments (FT, Bill Payments, Remittances)||Branch FEs (Call Centre, Branch, Back Office)||GL & ERP||CIF"
6,Bitum,,TBC Solutions,Win App,Delphi,Master||Front,MSME,Yes,Active,Normal,საბითუმო ლომბარდის მოდული,Wholesale Lombard,"Loans||Branch FEs (Call Centre, Branch, Back Office)"
7,Business support,,ZOHO,Win App,N/A,Master,,No,Active,Normal,პროგრამული და პროცედურული ხარვეზების რეგისტრაციის მოდული,Business support module (site),Others
8,C2011,B6,Alta Software,Win App,Delphi,Master,Platform Systems,No,Active,Key,პლასტიკური ბარათების მართვის მოდული,Plastic Cards Management Module,"Debit Cards||Credit Cards||Branch FEs (Call Centre, Branch, Back Office)"
9,C2012 (Cardstran),B6,Alta Software,Win App,Delphi,Master,Platform Systems,No,Active,Key,პლასტიკური ბარათებით შესრულებული ოპერაციების ასახვა Core-ში,Reflection of operations performed by plastic cards in Core system,Card Payments
10,CandidatePortal,,Asseco,Web App,.Net,Master,Ent Serv,No,Active,Normal,მიმდინარე ვაკანსიების ვებ-გვერდი (სააპლიკაციო ფორმის შევსებუის შესაძლებლობით),Current vacancies web-site,HRM
